name;sex;regency;father;mother;place
Vuyit Gafoxev;Male;Necromancer;Kebexipap Gafoxev;Xola Gafoxev;Diganup
Wame Tiye;Female;Warrior;Kafugekobo Tiye;Yorumevule Qut;Diganup
Lopovu Qut;Male;Runic;Xubova Tiye;Burawakopa Qut;Diganup
Data Cobe;Male;Shooter;Soy Cobe;Fer Cobe;Diganup
Berarupu Tiye;Female;Necromancer;Cubopidu Tiye;Suvoqedum Qut;Diganup
Koqi Wesikij;Male;Arcan;Win Wesikij;Zokezofo Wesikij;Diganup
Babaj Dagugop;Male;Summoner;Bahipa Dagugop;Fadam Cobe;Diganup
Degiriwep Qut;Female;Wily;Wobemanew Qut;Row Qut;Diganup
Motawuwa Wol;Male;Wily;Cafiwoxoja Dagugop;Cehevewu Wol;Diganup
Nakucikit Dibuduza;Female;Metaphisic;Towuhiy Dibuduza;Wiloxazupi Tiye;Diganup
Woj Gafoxev;Male;Wizard;Vuwi Gafoxev;Lubanezu Gafoxev;Diganup
Kebexipap Gafoxev;Male;Warrior;Savule Gafoxev;Cawadiri Gafoxev;Diganup
Kafugekobo Tiye;Male;Summoner;Wigequzici Tiye;Peb Tiye;Diganup
Jicocay Gafoxev;Male;Shooter;Wakorobi Gafoxev;Dofelibez Gafoxev;Diganup
Tojama Gehago;Female;Grunph;Way Gehago;Cab Dizaxiy;Diganup
Weseqebo Dibuduza;Male;Tamer;Towuhiy Dibuduza;Rodeqet Luc;Diganup
Cinetoqis Tiye;Male;Metaphisic;Zitub Qut;Konuvuheqi Tiye;Diganup
Dikusojana Cobe;Female;Wily;Fiqisige Cobe;Ditekahut Qut;Diganup
Gah Qut;Male;Runic;Gipocidu Qut;Biluw Qut;Diganup
Kurijepan Qut;Male;Shooter;Jalibucewo Qut;Wate Gafoxev;Diganup
Goha Wesikij;Male;Arcan;Koqi Wesikij;Qaxu Wesikij;Diganup
Yuxiveto Cobe;Female;Wily;Yuju Tiye;Pidokinax Cobe;Diganup
Jihof Qut;Female;Runic;Bewafasiwu Qut;Kexutibi Gafoxev;Diganup
Xogupakape Gafoxev;Female;Metaphisic;Gowomaj Gafoxev;Xerarabuya Gafoxev;Diganup
Xawuwikun Qut;Male;Tamer;Fey Qut;Zikejohef Qut;Diganup
Qororof Gafoxev;Male;Oracle;Goreqov Gafoxev;Pinetux Gafoxev;Diganup
Gok Cobe;Male;Oracle;Goha Wesikij;Xitaf Cobe;Diganup
Cubopidu Tiye;Male;Wily;Rusajito Dagugop;Qulimawima Tiye;Diganup
Walej Gafoxev;Male;Summoner;Savule Gafoxev;Pivokuni Qut;Kucunem
Cafiwoxoja Dagugop;Male;Wily;Rusajito Dagugop;Yutuwup Maqunehac;Kucunem
Virisi Qut;Male;Illusionist;Zopacocem Wesikij;Hogen Qut;Hiqoy
Seqaloto Capijutez;Male;Metaphisic;Qeg Capijutez;Rizutal Miyebeced;Hiqoy
Lufewasase Lojokuyo;Female;Tamer;Motawuwa Wol;Hanoqaveku Lojokuyo;Hiqoy
Xuganeg Gafoxev;Female;Tamer;Nineh Gafoxev;Hurehiz Gafoxev;Hiqoy
Turatah Gafoxev;Female;Metaphisic;Rucadug Gafoxev;Gam Cobe;Voquteyey
Bux Cobe;Male;Wily;Fiqisige Cobe;Ditekahut Qut;Qicu
