name;sex;regency;father;mother;place
Xayuc Lob;Male;Warrior;Wefiyeq Sicu;Yuxu Lob;Lenim
Cavefuh Tocosubuqa;Female;Wizard;Nimix Yiyufoyubi;Zisu Tocosubuqa;Lenim
Nawe Fobacu;Male;Runic;Kewuzijo Fobacu;Behesetet Rus;Lenim
Luz Zupe;Female;Metaphisic;Hiqejelel Zupe;Fomuqej Zupe;Lenim
Wadexu Fobacu;Male;Arcan;Poxehijo Rus;Xevegogaki Fobacu;Lenim
Mar Fobacu;Female;Necromancer;Qitufeg Fobacu;Putiza Zupe;Lenim
Lorotonu Tocosubuqa;Male;Tamer;Xiqo Fobacu;Wuk Tocosubuqa;Lenim
Yebaq Mitopilaw;Male;Shooter;Vucag Fobacu;Wiwepuqe Mitopilaw;Lenim
Zekovuse Fobacu;Male;Warrior;Nedapet Mitopilaw;Sor Fobacu;Lenim
Tifebesit Zupe;Female;Metaphisic;Jipusu Zupe;Yexuyubos Fobacu;Lenim
Ligepapubu Fobacu;Male;Arcan;Lahodunuha Rus;Guwif Fobacu;Lenim
Dehuziwet Tocosubuqa;Male;Illusionist;Qofosic Yiyufoyubi;Fisami Tocosubuqa;Lenim
Habi Fobacu;Female;Necromancer;Qoki Fobacu;Qina Yiyufoyubi;Lenim
Nokerojax Fobacu;Male;Runic;Fatoye Tocosubuqa;Qokimi Fobacu;Lenim
Reciwadigi Lob;Male;Oracle;Xayuc Lob;Mujor Zupe;Lenim
Jiyuqarubi Fobacu;Male;Metaphisic;Laluc Fobacu;Nivijuni Tocosubuqa;Lenim
Zequgapi Mitopilaw;Female;Summoner;Zoqiqu Tocosubuqa;Bowuraqeme Mitopilaw;Lenim
Ropuboxata Zupe;Male;Wizard;Xubuhupine Zupe;Qokimi Fobacu;Lenim
Rohis Tocosubuqa;Male;Tamer;Gicaneqexe Tocosubuqa;Tifebesit Zupe;Lenim
Yecarapi Yiyufoyubi;Male;Warrior;Recejami Zupe;Guriveqaj Yiyufoyubi;Lenim
Folilupepe Tocosubuqa;Female;Summoner;Vuqadi Zupe;Kipe Tocosubuqa;Lenim
Car Zupe;Female;Wily;Dedo Zupe;Noxid Tocosubuqa;Lenim
Xiqo Fobacu;Male;Runic;Yisopin Fobacu;Yuwap Yiyufoyubi;Lenim
Falodom Tocosubuqa;Female;Warrior;Vajiyuva Tocosubuqa;Cacusoza Zupe;Lenim
Ziroq Fobacu;Male;Metaphisic;Wadexu Fobacu;Hibeqam Zupe;Lenim
Cacirok Qatugo;Female;Summoner;Hec Wiyeket;Fopezece Qatugo;Lenim
Hip Tocosubuqa;Female;Warrior;Nimix Yiyufoyubi;Kafusa Tocosubuqa;Lenim
Pode Fobacu;Male;Tamer;Regog Tocosubuqa;Ganico Fobacu;Lenim
Cusajopiqa Fobacu;Male;Shooter;Zoqaze Zupe;Hobedijayu Fobacu;Lenim
Bijet Yiyufoyubi;Male;Tamer;Fumahaf Yiyufoyubi;Kiqufekeg Tocosubuqa;Lenim
Qesewac Mitopilaw;Female;Oracle;Nedapet Mitopilaw;Micobixi Rus;Lenim
Komicevab Tocosubuqa;Female;Grunph;Nerayayik Fobacu;Vupurugiwo Tocosubuqa;Lenim
Porubocu Zupe;Female;Warrior;Lovoke Zupe;Tesubicu Fobacu;Lenim
Wepic Tocosubuqa;Male;Runic;Tihasumoje Tocosubuqa;Tesubicu Fobacu;Lenim
Hotopewuri Tocosubuqa;Female;Tamer;Nuxuyazi Yiyufoyubi;Jeq Tocosubuqa;Lenim
Volejud Putubevamo;Female;Summoner;Setakuyawi Putubevamo;Behesetet Rus;Lenim
Talomuw Tocosubuqa;Male;Summoner;Qisef Zupe;Widu Tocosubuqa;Lenim
Kolufiyal Mitopilaw;Male;Metaphisic;Qojubayip Mitopilaw;Nunar Fobacu;Lenim
Mut Tocosubuqa;Male;Runic;Hepacabey Tocosubuqa;Johowiwob Tocosubuqa;Lenim
Zoqiqu Tocosubuqa;Male;Metaphisic;Pomocuraki Tocosubuqa;Robeqi Yiyufoyubi;Lenim
Cetonazudi Yiyufoyubi;Female;Wizard;Rivuzupeha Yiyufoyubi;Gedicumi Tocosubuqa;Lenim
Vega Rus;Male;Warrior;Zasoqa Rus;Humadarak Sicu;Lenim
Suso Tocosubuqa;Male;Oracle;Fuzixu Tocosubuqa;Gagacalux Qatugo;Lenim
Xuqot Zupe;Male;Tamer;Dedo Zupe;Bowuraqeme Mitopilaw;Lenim
Nezonicexu Mitopilaw;Female;Illusionist;Zum Mitopilaw;Sipole Tocosubuqa;Lenim
Lozexecoma Tocosubuqa;Female;Illusionist;Vuqofomi Fobacu;Pidaxibu Tocosubuqa;Lenim
Qizafis Zupe;Male;Runic;Mame Fobacu;Yapoz Zupe;Lenim
Jixutige Fobacu;Male;Tamer;Mut Tocosubuqa;Xokufuxaca Fobacu;Lenim
Zifomuce Rus;Female;Metaphisic;Zekovuse Fobacu;Fanugulu Rus;Lenim
Wuyes Tocosubuqa;Male;Warrior;Tihasumoje Tocosubuqa;Habi Fobacu;Lenim
Balorezenu Fobacu;Male;Wily;Taxutin Fobacu;Gezeqa Tocosubuqa;Lenim
Goc Tocosubuqa;Female;Shooter;Qucizazox Tocosubuqa;Lih Tocosubuqa;Lenim
Wukifojut Tocosubuqa;Male;Tamer;Luqazevuji Yiyufoyubi;Falodom Tocosubuqa;Lenim
Poyijof Fobacu;Male;Oracle;Saxexarasu Fobacu;Lejaro Tocosubuqa;Lenim
Kujubafuxe Mitopilaw;Male;Wizard;Bopeheja Cuzahi;Sexoy Mitopilaw;Lenim
Fam Yiyufoyubi;Male;Arcan;Tihasumoje Tocosubuqa;Farowa Yiyufoyubi;Lenim
Coyagukez Tocosubuqa;Female;Wizard;Heranixare Tocosubuqa;Tutoyuv Tocosubuqa;Lenim
Diju Tocosubuqa;Male;Illusionist;Nem Yiyufoyubi;Kafusa Tocosubuqa;Lenim
Muj Fobacu;Male;Warrior;Poyijof Fobacu;Nezonicexu Mitopilaw;Lenim
Xuz Fobacu;Female;Shooter;Quqiyedis Tocosubuqa;Xonerubif Fobacu;Lenim
Qorago Tocosubuqa;Male;Shooter;Bamonu Bujohakere;Towu Tocosubuqa;Lenim
Xoronitaq Mitopilaw;Male;Warrior;Poyijof Fobacu;Nezonicexu Mitopilaw;Lenim
Xuq Yiyufoyubi;Female;Wily;Nuxuyazi Yiyufoyubi;Yuwap Yiyufoyubi;Lenim
Xokufuxaca Fobacu;Female;Wily;Miwonowoy Fobacu;Yodufuk Yiyufoyubi;Lenim
Xevu Vuvaje;Female;Warrior;Tuxahafiy Yor;Sifiguk Vuvaje;Lenim
Dile Zupe;Male;Metaphisic;Lahodunuha Rus;Putiza Zupe;Lenim
Tesubicu Fobacu;Female;Tamer;Qoki Fobacu;Rozetuzuc Rus;Lenim
Nunar Fobacu;Female;Tamer;Huxiqu Fobacu;Folilupepe Tocosubuqa;Lenim
Fatoye Tocosubuqa;Male;Illusionist;Xoladehay Tocosubuqa;Tanocayoj Tocosubuqa;Lenim
Zasoqa Rus;Male;Illusionist;Dejigiho Ziwa;Behesetet Rus;Lenim
Loh Rus;Female;Summoner;Xavow Rus;Pasucaju Tocosubuqa;Lenim
Yulabo Zupe;Female;Illusionist;Xocaxoy Rus;Wugokuxu Zupe;Jedarilame
Qofosic Yiyufoyubi;Male;Oracle;Hugugaz Yiyufoyubi;Dunohab Yiyufoyubi;Jedarilame
Bucus Fobacu;Male;Runic;Recejami Zupe;Mupubeju Fobacu;Jedarilame
Setecer Tocosubuqa;Female;Necromancer;Bebomavami Tocosubuqa;Sumo Tocosubuqa;Jedarilame
Mugam Rus;Female;Warrior;Docifa Rus;Notusib Rus;Refofew
Goq Tocosubuqa;Female;Tamer;Wezoy Yiyufoyubi;Kiqufekeg Tocosubuqa;Refofew
Lahodunuha Rus;Male;Metaphisic;Jiyuqarubi Fobacu;Juv Rus;Xah
Rozetuzuc Rus;Female;Wizard;Vega Rus;Mupubeju Fobacu;Wofuw
Qisoto Tocosubuqa;Male;Wily;Miwonowoy Fobacu;Qag Tocosubuqa;Wofuw
Xocuxece Rus;Male;Metaphisic;Suso Tocosubuqa;Cake Rus;Wofuw
Codewid Rus;Male;Warrior;Ciwa Rus;Tesubicu Fobacu;Wofuw
Keboxabimu Tocosubuqa;Female;Arcan;Gicaneqexe Tocosubuqa;Tifebesit Zupe;Wofuw
Sizum Fobacu;Male;Runic;Vuqofomi Fobacu;Fekos Tocosubuqa;Wofuw
Kebay Tocosubuqa;Male;Summoner;Reku Tocosubuqa;Rip Fobacu;Vahi
Bibopug Tocosubuqa;Female;Runic;Kuhe Fobacu;Benepofi Tocosubuqa;Vahi
Nutoropoz Yiyufoyubi;Female;Warrior;Fumahaf Yiyufoyubi;Micobixi Rus;Pulubacux
Jecejaboco Rus;Male;Illusionist;Nedapet Mitopilaw;Notusib Rus;Pulubacux
Lubim Tocosubuqa;Female;Runic;Tahigow Yiyufoyubi;Hotopewuri Tocosubuqa;Pulubacux
Ruqefeziz Tocosubuqa;Male;Wizard;Xocaxoy Rus;Xik Tocosubuqa;Cedinimif
