name;sex;regency;father;mother;place
Robadepaj Vuz;Female;Metaphisic;Nike Vuz;Loturaqeq Vuz;Lufeqolapol
Muwa Vuz;Male;Summoner;Yigemita Kabosudu;Duvogas Vuz;Lufeqolapol
Faleko Kabosudu;Female;Wily;Pehakayoq Kabosudu;Hiqoyid Kabosudu;Lufeqolapol
Gavahe Yih;Male;Oracle;Hoyo Yih;Boxibuxu Vuz;Lufeqolapol
Lugal Kabosudu;Male;Oracle;Duve Kabosudu;Wohocihu Kabosudu;Lufeqolapol
Kesalehul Kabosudu;Male;Arcan;Tis Kabosudu;Vedin Vuz;Lufeqolapol
Polefoze Vuz;Female;Wizard;Kefih Vuz;Mivipoziro Kabosudu;Lufeqolapol
Diji Vuz;Male;Summoner;Medokuz Vuz;Loturaqeq Vuz;Lufeqolapol
Kokotuqag Kabosudu;Male;Tamer;Hac Kabosudu;Zowabesu Hohacey;Lufeqolapol
Kitovib Vuz;Male;Summoner;Doyigajac Vuz;Jezoyapet Vuz;Lufeqolapol
Nozabe Kabosudu;Female;Warrior;Fel Kabosudu;Lusubizu Yih;Lufeqolapol
Nirogoga Wupejab;Male;Tamer;Vekica Wupejab;Jakuqu Yuletu;Lufeqolapol
Von Kabosudu;Male;Oracle;Yodulenoqu Kabosudu;Koxotihef Yih;Lufeqolapol
Mucuveh Vuz;Female;Shooter;Haloc Vuz;Qoyaviye Vuz;Lufeqolapol
Gim Vuz;Female;Shooter;Nirogoga Wupejab;Zec Vuz;Lufeqolapol
Zepey Vuz;Male;Wizard;Focepiso Kabosudu;Caja Vuz;Lufeqolapol
Xuluzake Kabosudu;Female;Metaphisic;Salahohad Kabosudu;Romiguvade Kabosudu;Lufeqolapol
Haloc Vuz;Male;Warrior;Dotaxeda Vuz;Woyoyuxe Yih;Lufeqolapol
Fujibege Vuz;Female;Shooter;Zemi Kabosudu;Toq Vuz;Lufeqolapol
Bonukoxef Soyido;Male;Summoner;Yihi Kabosudu;Derenabu Soyido;Lufeqolapol
Domedef Kabosudu;Female;Metaphisic;Peluz Kabosudu;Bamak Kabosudu;Lufeqolapol
Foxef Vuz;Male;Necromancer;Hehosefi Vuz;Mutiyijoku Vuz;Lufeqolapol
